
model,link,test_size,accuracy_with_pdr_and_rssi,accuracy_with_pdr,accuracy_with_rssi
SVM,7===41,0.25,0.96875,0.7428571428571429,1.0
RF,7===41,0.25,1.0,0.9714285714285714,1.0
LogReg,7===11,0.25,0.6428571428571429,0.7916666666666666,1.0
LSVM,7===11,0.25,0.7380952380952381,0.8541666666666666,1.0
SVM,7===11,0.25,1.0,0.8541666666666666,1.0
RF,7===11,0.25,1.0,1.0,1.0
LogReg,7===17,0.25,0.9125,0.925,0.75
LSVM,7===17,0.25,0.9375,1.0,0.7708333333333334
SVM,7===17,0.25,0.9375,0.9125,1.0
RF,7===17,0.25,0.95,1.0,0.9895833333333334
LogReg,7===0,0.25,0.8928571428571429,0.9404761904761905,0.9285714285714286
LSVM,7===0,0.25,0.9404761904761905,0.9880952380952381,0.9404761904761905
SVM,7===0,0.25,0.9761904761904762,1.0,0.9880952380952381
RF,7===0,0.25,1.0,1.0,1.0
LogReg,7===20,0.25,0.9390243902439024,0.9878048780487805,1.0
LSVM,7===20,0.25,0.9390243902439024,0.9878048780487805,1.0
SVM,7===20,0.25,1.0,0.9878048780487805,1.0
RF,7===20,0.25,0.975609756097561,1.0,1.0
LogReg,8===29,0.25,1.0,1.0,1.0
LSVM,8===29,0.25,1.0,1.0,1.0
SVM,8===29,0.25,1.0,1.0,1.0
RF,8===29,0.25,1.0,1.0,1.0
LogReg,8===38,0.25,1.0,1.0,1.0
LSVM,8===38,0.25,1.0,1.0,1.0
SVM,8===38,0.25,1.0,1.0,1.0
RF,8===38,0.25,1.0,1.0,1.0
LogReg,8===25,0.25,1.0,1.0,1.0
LSVM,8===25,0.25,1.0,1.0,1.0
SVM,8===25,0.25,1.0,1.0,1.0
RF,8===25,0.25,1.0,1.0,1.0
LogReg,8===10,0.25,1.0,1.0,1.0
LSVM,8===10,0.25,1.0,1.0,1.0
SVM,8===10,0.25,1.0,1.0,1.0
RF,8===10,0.25,1.0,1.0,1.0
LogReg,9===24,0.25,1.0,0.8717948717948718,1.0
LSVM,9===24,0.25,1.0,0.8717948717948718,1.0
SVM,9===24,0.25,1.0,0.8205128205128205,1.0
RF,9===24,0.25,1.0,1.0,1.0
LogReg,9===3,0.25,0.8333333333333334,0.9,1.0
LSVM,9===3,0.25,0.8444444444444444,0.9333333333333333,1.0
SVM,9===3,0.25,0.9777777777777777,0.9444444444444444,1.0
RF,9===3,0.25,0.9777777777777777,1.0,1.0
LogReg,9===4,0.25,1.0,1.0,1.0
LSVM,9===4,0.25,1.0,1.0,1.0
SVM,9===4,0.25,1.0,1.0,1.0
RF,9===4,0.25,1.0,1.0,1.0
LogReg,9===32,0.25,0.9047619047619048,0.9880952380952381,0.71
LSVM,9===32,0.25,0.9166666666666666,0.9642857142857143,0.84
SVM,9===32,0.25,0.9761904761904762,0.9642857142857143,1.0
RF,9===32,0.25,0.9761904761904762,1.0,1.0
LogReg,9===23,0.25,1.0,1.0,1.0
LSVM,9===23,0.25,1.0,1.0,1.0
SVM,9===23,0.25,1.0,1.0,1.0
RF,9===23,0.25,1.0,1.0,1.0
LogReg,10===45,0.25,1.0,1.0,1.0
LSVM,10===45,0.25,1.0,1.0,1.0
SVM,10===45,0.25,1.0,1.0,1.0
RF,10===45,0.25,1.0,1.0,1.0
LogReg,10===29,0.25,0.8571428571428571,0.9418604651162791,1.0
LSVM,10===29,0.25,0.8571428571428571,1.0,1.0
SVM,10===29,0.25,0.9642857142857143,0.9534883720930233,1.0
RF,10===29,0.25,0.9880952380952381,1.0,1.0
LogReg,10===25,0.25,1.0,1.0,0.7727272727272727
LSVM,10===25,0.25,1.0,1.0,0.8181818181818182
SVM,10===25,0.25,1.0,1.0,0.9659090909090909
RF,10===25,0.25,1.0,1.0,0.9886363636363636
LogReg,10===39,0.25,1.0,1.0,0.9390243902439024
LSVM,10===39,0.25,1.0,1.0,0.9512195121951219
SVM,10===39,0.25,1.0,1.0,1.0
RF,10===39,0.25,1.0,1.0,1.0
LogReg,10===36,0.25,1.0,1.0,1.0
LSVM,10===36,0.25,1.0,1.0,1.0
SVM,10===36,0.25,1.0,1.0,1.0
RF,10===36,0.25,1.0,1.0,1.0
LogReg,10===8,0.25,0.6153846153846154,0.5384615384615384,1.0
LSVM,10===8,0.25,0.6923076923076923,0.38461538461538464,1.0
SVM,10===8,0.25,1.0,0.5384615384615384,1.0
RF,10===8,0.25,1.0,1.0,1.0
LogReg,11===7,0.25,1.0,1.0,1.0
LSVM,11===7,0.25,1.0,1.0,1.0
SVM,11===7,0.25,1.0,1.0,1.0
RF,11===7,0.25,1.0,1.0,1.0
LogReg,11===48,0.25,0.7708333333333334,0.8367346938775511,1.0
LSVM,11===48,0.25,0.875,0.9795918367346939,1.0
SVM,11===48,0.25,1.0,0.9387755102040817,1.0
RF,11===48,0.25,1.0,1.0,1.0
LogReg,11===5,0.25,0.8695652173913043,0.863013698630137,1.0
LSVM,11===5,0.25,0.8695652173913043,0.9178082191780822,1.0
SVM,11===5,0.25,1.0,0.863013698630137,1.0
RF,11===5,0.25,1.0,1.0,1.0
LogReg,11===40,0.25,0.872093023255814,0.8953488372093024,0.8160919540229885
LSVM,11===40,0.25,0.8837209302325582,0.9883720930232558,0.8505747126436781
SVM,11===40,0.25,1.0,0.9534883720930233,1.0
RF,11===40,0.25,0.9767441860465116,0.9883720930232558,1.0
LogReg,11===31,0.25,0.8,0.7534246575342466,1.0
LSVM,11===31,0.25,0.8666666666666667,0.9041095890410958,1.0
