
model,link,test_size,accuracy_with_pdr_and_rssi,accuracy_with_pdr,accuracy_with_rssi
LogReg,7===44,0.25,0.9295774647887324,0.9154929577464789,1.0
LSVM,7===44,0.25,0.9154929577464789,0.9436619718309859,1.0
SVM,7===44,0.25,0.9436619718309859,0.9295774647887324,1.0
RF,7===44,0.25,0.971830985915493,0.9859154929577465,1.0
LogReg,7===41,0.25,0.8333333333333334,0.875,1.0
LSVM,7===41,0.25,0.7916666666666666,0.875,1.0
SVM,7===41,0.25,0.875,0.875,1.0
RF,7===41,0.25,1.0,0.9166666666666666,1.0
LogReg,7===11,0.25,0.9692307692307692,0.9384615384615385,1.0
LSVM,7===11,0.25,0.9076923076923077,0.9076923076923077,1.0
SVM,7===11,0.25,1.0,0.8769230769230769,1.0
RF,7===11,0.25,1.0,0.9384615384615385,1.0
LogReg,7===17,0.25,0.925,0.9375,0.95
LSVM,7===17,0.25,0.9625,0.9625,0.9375
SVM,7===17,0.25,0.9375,0.925,1.0
RF,7===17,0.25,0.975,1.0,0.9875
LogReg,7===0,0.25,0.975,0.95,1.0
LSVM,7===0,0.25,0.95,0.975,1.0
SVM,7===0,0.25,0.95,0.975,1.0
RF,7===0,0.25,0.9875,1.0,1.0
LogReg,7===20,0.25,0.9875,0.9875,1.0
LSVM,7===20,0.25,0.975,0.9875,1.0
SVM,7===20,0.25,1.0,0.9625,1.0
RF,7===20,0.25,1.0,1.0,1.0
LogReg,8===29,0.25,1.0,1.0,1.0
LSVM,8===29,0.25,1.0,1.0,1.0
SVM,8===29,0.25,1.0,1.0,1.0
RF,8===29,0.25,1.0,1.0,1.0
LogReg,8===38,0.25,1.0,1.0,1.0
LSVM,8===38,0.25,1.0,1.0,1.0
SVM,8===38,0.25,1.0,1.0,1.0
RF,8===38,0.25,1.0,1.0,1.0
LogReg,8===25,0.25,1.0,0.96,1.0
LSVM,8===25,0.25,1.0,1.0,1.0
SVM,8===25,0.25,1.0,0.96,1.0
RF,8===25,0.25,1.0,1.0,1.0
LogReg,8===10,0.25,1.0,1.0,1.0
LSVM,8===10,0.25,1.0,1.0,1.0
SVM,8===10,0.25,1.0,1.0,1.0
RF,8===10,0.25,1.0,1.0,1.0
LogReg,9===24,0.25,1.0,0.8918918918918919,1.0
LSVM,9===24,0.25,1.0,0.918918918918919,1.0
SVM,9===24,0.25,1.0,0.8918918918918919,1.0
RF,9===24,0.25,1.0,1.0,1.0
LogReg,9===3,0.25,0.9875,0.9625,1.0
LSVM,9===3,0.25,0.9375,0.975,1.0
SVM,9===3,0.25,0.95,0.9625,1.0
RF,9===3,0.25,0.975,1.0,1.0
LogReg,9===4,0.25,1.0,1.0,1.0
LSVM,9===4,0.25,1.0,1.0,1.0
SVM,9===4,0.25,1.0,1.0,1.0
RF,9===4,0.25,1.0,1.0,1.0
LogReg,9===32,0.25,0.95,0.95,1.0
LSVM,9===32,0.25,0.95,0.975,0.9375
SVM,9===32,0.25,0.95,0.9375,1.0
RF,9===32,0.25,0.975,0.9875,1.0
LogReg,9===23,0.25,1.0,1.0,1.0
LSVM,9===23,0.25,1.0,1.0,1.0
SVM,9===23,0.25,1.0,1.0,1.0
RF,9===23,0.25,1.0,1.0,1.0
LogReg,10===45,0.25,1.0,1.0,1.0
LSVM,10===45,0.25,1.0,1.0,1.0
SVM,10===45,0.25,1.0,1.0,1.0
RF,10===45,0.25,1.0,1.0,1.0
LogReg,10===29,0.25,0.9615384615384616,0.9615384615384616,1.0
LSVM,10===29,0.25,0.9615384615384616,0.9743589743589743,1.0
SVM,10===29,0.25,0.9615384615384616,0.9871794871794872,1.0
RF,10===29,0.25,0.9871794871794872,0.9743589743589743,1.0
LogReg,10===25,0.25,1.0,1.0,0.8625
LSVM,10===25,0.25,1.0,1.0,0.8625
SVM,10===25,0.25,1.0,1.0,0.9875
RF,10===25,0.25,1.0,1.0,1.0
LogReg,10===39,0.25,1.0,1.0,0.9873417721518988
LSVM,10===39,0.25,1.0,1.0,0.9873417721518988
SVM,10===39,0.25,1.0,1.0,0.9873417721518988
RF,10===39,0.25,1.0,1.0,1.0
LogReg,10===36,0.25,1.0,1.0,1.0
LSVM,10===36,0.25,1.0,1.0,1.0
SVM,10===36,0.25,1.0,1.0,1.0
RF,10===36,0.25,1.0,1.0,1.0
LogReg,10===8,0.25,1.0,1.0,1.0
LSVM,10===8,0.25,1.0,1.0,1.0
SVM,10===8,0.25,1.0,1.0,1.0
RF,10===8,0.25,1.0,1.0,1.0
